Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
reca3fwmaSNjfqOBi,Erkek,2004,Ön Lisans,2,Aydın Adnan Menderes Üniversitesi,Elektrik Mühendisliği,,
recFuwCSQ3aG79CHh,Kadın,2007,Lisans,Hazırlık,Gebze Teknik Üniversitesi,Çevre Mühendisliği (İngilizce),,
rec5IIzjRMZ5UFEaF,Erkek,2001,Lisans,3,Yeditepe Üniversitesi (İstanbul),Uluslararası İşletme Yönetimi (Almanca),,
rec7wIsMx1RFrqJkU,Kadın,2002,Lisans,3,Kütahya Sağlık Bilimleri Üniversitesi,Bilgisayar Mühendisliği,,
recOrgK9ssP6RqYBP,Erkek,2005,Lisans,1,İstinye Üniversitesi (İstanbul),Yazılım Mühendisliği (İngilizce),,
rec6RwF7tK3r6WwXl,Kadın,2000,Lisans Mezunu,,,,Marmara Üniversitesi (İstanbul),İşletme (Almanca)
recwEiK6hvMAJAYwA,Erkek,2002,Lisans,4,Eskişehir Osmangazi Üniversitesi,Hemşirelik,,
recF6CKG1TtDBQxbN,Erkek,2002,Lisans,3,Yaşar Üniversitesi (İzmir),Yönetim Bilişim Sistemleri (İngilizce),,
recBFl3tiJuhQYwr2,Kadın,2003,Lisans,4,Bilecik Şeyh Edebali Üniversitesi,Sosyal Hizmet,,
recZJEljBNwBwyCy3,Kadın,2000,Lisans Mezunu,,,,İstanbul Sabahattin Zaim Üniversitesi,Gıda Mühendisliği (İngilizce)
recWBY358rmCtx7V8,Kadın,1997,Lisans,4,Afyon Kocatepe Üniversitesi (Afyonkarahisar),Acil Yardım ve Afet Yönetimi (KKTC Uyruklu),,
